ID,Category,Difficulty,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectIndex,Hint,Tags
1,エンタメ,1,映画館でよく使われる「予告編」の別名は？,トレーラー,イントロ,ショートムービー,スポット,0,映画の本編前に流れるあれ,映画
2,エンタメ,1,舞台で俳優がセリフを忘れた時に使われる言葉は？,トチる,モヤる,ハズす,ノル,0,舞台用語です,舞台
3,エンタメ,1,音楽ライブで「アンコール」が行われる理由として最も一般的なのは？,観客の拍手,セットリストの都合,照明の調整,楽器の冷却,0,観客の反応で発生します,音楽
4,エンタメ,1,バラエティ番組で使われる「テロップ」とは何？,文字の表示,背景音,照明演出,観客席の映像,0,テレビではよく多用される,テレビ
5,エンタメ,2,ドラマ撮影で「クランクイン」は何を意味する？,撮影開始,打ち上げ,編集開始,音声収録,0,撮影現場で使う専門用語,ドラマ
6,エンタメ,2,ゲーム制作で「NPC」の意味は？,操作できないキャラ,次世代プログラムコード,ネットプレイキャラ,新規プレイヤー,0,ストーリーでよく話す相手,ゲーム
7,エンタメ,2,アニメのオープニング曲を指す言葉として最も一般的なのは？,OP,ST,IN,FR,0,2文字で表すことが多い,アニメ
8,エンタメ,2,映画でシーン間を暗転させる技法を何という？,フェードアウト,ノーカット,クロスライン,ダブルショット,0,編集テクニック,映画
9,エンタメ,2,音楽業界で「タイアップ」とは何？,別メディアとの連動企画,声優の交代,曲のショート版,ライブの後半戦,0,アニメの主題歌などに多い,音楽
10,エンタメ,2,ゲームで「隠し要素」の英語として最もよく使われるのは？,シークレット,ノーマル,ハードコア,ライブ,0,プレイヤーが見つける楽しみ,ゲーム
11,エンタメ,3,映画撮影で「ワンカット撮影」とは何？,切らずに撮影し続ける,一人だけ映す,特定の角度で撮る,背景のみ撮る,0,編集せずに一続きで撮る手法,映画
12,エンタメ,3,ドラマでよくある「スピンオフ作品」は何？,別視点の派生作品,制作費が低い作品,予告だけの作品,短編のまとめ,0,元作品のキャラに焦点を当てる,ドラマ
13,エンタメ,3,アニメ制作で「原画マン」の主な仕事は？,重要な絵の決定稿を描く,背景を塗る,音声を録る,企画を立てる,0,アニメの動きの要になる部分,アニメ
14,エンタメ,3,ゲーム開発で「ベータ版」とはどんな段階？,不具合をテストする段階,完成品,アイデアスケッチ,デザイン決定稿,0,正式版前のテスト,ゲーム
15,エンタメ,3,音楽で「アコースティック」とは何を指す？,電気を使わない演奏,EDMの一種,金属楽器のみ,ソロ演奏,0,ギターでよく聞く言葉,音楽
16,エンタメ,1,テレビ番組で本番前に行う「リハーサル」は何の略？,特に略ではない,Ready Hall,Re Hearse,Run Hall,0,実は略語ではありません,テレビ
17,エンタメ,2,映画チケットの「レイトショー」とは？,夜遅い時間帯の上映,声優による解説付き上映,短編映画のみ上映,割引のない回,0,仕事帰りの人が行きやすい,映画
18,エンタメ,2,ゲームで「クラフト要素」があるとはどんな意味？,物を作れる,敵が多い,時間制限がある,オンライン専用,0,素材を集めることが多い,ゲーム
19,エンタメ,1,アニメでよく見る「SDキャラ」の“SD”の意味は？,スーパーデフォルメ,サードデザイン,スタンダード,スーパードライブ,0,小さくて可愛い姿,アニメ
20,エンタメ,3,映画で「エンドロール」が長い作品の特徴として多いのは？,制作スタッフが多い,主演が少ない,短編作品である,予算が少ない,0,スタッフ名がずらりと出る,映画
21,エンタメ,1,音楽でバンドの「フロントマン」とはどんな役割の人？,中心的な存在,照明担当,楽器保守,舞台監督,0,バンドを象徴する人,音楽
22,エンタメ,1,アニメで「アイキャッチ」と呼ばれるのはどの部分？,区切りの短い映像,ED曲の最後,キャラ紹介,スポンサー読み上げ,0,本編の途中に入る映像,アニメ
23,エンタメ,1,映画でよくある「NGシーン」は何の略？,No Good,Next Goal,New Gate,No Gallery,0,失敗シーンのこと,映画
24,エンタメ,1,テレビでよく使われる「ワイプ」は何を指す？,小さな顔の映像,小道具,効果音,撮影照明,0,リアクションが映る四角い枠,テレビ
25,エンタメ,2,ゲームプレイで「周回プレイ」とは？,同じステージを繰り返す,一定時間ごとに休む,敵が増えること,ストーリーが分岐する,0,アイテム集めでよく使う言葉,ゲーム
26,エンタメ,2,ドラマの台本で「ト書き」とは何のこと？,動作や状況の説明,台詞の強調,背景の種類,衣装の指定,0,俳優の動きが書かれている部分,ドラマ
27,エンタメ,2,音楽ライブで「物販コーナー」に並ぶものとして最も一般的なのは？,グッズ,CDプレーヤーの修理,楽屋見学券,舞台の設計図,0,会場限定アイテムも多い,音楽
